department,day,population,encounters
""9"",2006-09-30,1407,828
""9"",2006-10-31,1460,858
""9"",2006-12-31,1589,1055
""9"",2007-01-31,1676,1157
""9"",2007-03-31,1834,1016
""9"",2007-04-30,1949,1165
""9"",2007-06-30,2152,1249
""9"",2007-07-31,2262,1338
""9"",2007-09-30,2428,1383
""9"",2007-10-31,2559,1999
""9"",2007-12-31,2757,2369
""9"",2008-01-31,2862,2120
""9"",2008-03-31,3023,2588
""9"",2008-04-30,3100,2904
""9"",2008-06-30,3244,3002
""9"",2008-07-31,3341,2947
""9"",2008-09-30,3471,2491
""9"",2008-10-31,3562,3127
""9"",2008-12-31,3723,3536
""9"",2009-01-31,3819,3851
""9"",2009-03-31,4007,3957
""9"",2009-04-30,4083,3579
""9"",2009-05-31,4135,3296
""9"",2009-06-30,4239,4026
""9"",2009-07-31,4330,3812
""9"",2009-08-31,4415,3191
""9"",2009-09-30,4511,4019
""9"",2009-10-31,4596,3704
""9"",2009-11-30,4701,3295
""9"",2009-12-31,4791,3185
""9"",2010-01-31,4864,2240
""9"",2010-02-28,4903,1788
""9"",2010-03-31,4988,2118
""9"",2010-04-30,5072,3490
""9"",2010-05-31,5131,3354
""9"",2010-06-30,5203,2589
""9"",2010-07-31,5278,3701
""9"",2010-08-31,5362,4060
""9"",2010-09-30,5413,4042
""9"",2010-10-31,5485,3908
""9"",2010-11-30,5524,3268
""9"",2010-12-31,5553,3305
""9"",2011-01-31,5621,3620
""9"",2011-02-28,5679,3449
""9"",2011-03-31,5765,4567
""9"",2011-04-30,5819,4316
""9"",2011-05-31,5901,4673
""9"",2011-06-30,5969,5260
""9"",2011-07-31,6031,4298
""9"",2011-08-31,6100,4267
""9"",2011-09-30,6170,4650
""9"",2011-10-31,6248,4647
""9"",2011-11-30,6310,4288
""9"",2011-12-31,6373,4373
""9"",2012-01-31,6439,4417
""10"",2006-01-31,700,633
""10"",2006-03-31,784,822
""10"",2006-04-30,830,725
""10"",2006-06-30,942,1023
""10"",2006-07-31,1002,1093
""10"",2006-09-30,1116,1161
""10"",2006-10-31,1164,1389
""10"",2006-12-31,1250,1523
""10"",2007-01-31,1315,1794
""10"",2007-03-31,1389,1394
""10"",2007-04-30,1424,1325
""10"",2007-06-30,1518,1552
""10"",2007-07-31,1578,1629
""10"",2007-09-30,1666,1554
""10"",2007-10-31,1721,1466
