clinic,day,population,encounters
11234,2009-09-30,4,13
11234,2009-10-31,6,10
11234,2009-11-30,8,10
11234,2009-12-31,8,2
11234,2010-01-31,8,2
11234,2010-02-28,8,0
11234,2010-03-31,9,2
11234,2010-04-30,9,2
11234,2010-05-31,9,0
11234,2010-06-30,11,5
11234,2010-07-31,11,1
11234,2010-08-31,18,43
11234,2010-09-30,20,11
11234,2010-10-31,20,4
11234,2010-11-30,22,20
11234,2010-12-31,23,14
11234,2011-01-31,26,27
11234,2011-02-28,28,24
11234,2011-03-31,28,30
11234,2011-04-30,31,32
11234,2011-05-31,36,37
11234,2011-06-30,37,33
11234,2011-07-31,37,19
11234,2011-08-31,38,13
11234,2011-09-30,40,25
11234,2011-10-31,41,24
11234,2011-11-30,42,21
11234,2011-12-31,42,5
11234,2012-01-31,44,20
11240,2010-06-30,2,5
11240,2010-07-31,2,0
11240,2010-08-31,3,2
11240,2010-09-30,4,2
11240,2010-10-31,4,0
11240,2010-11-30,4,1
11240,2010-12-31,5,3
11240,2011-01-31,8,6
11240,2011-02-28,8,0
11240,2011-03-31,8,0
11240,2011-04-30,10,4
11240,2011-05-31,13,6
11240,2011-06-30,14,7
11240,2011-07-31,14,5
11240,2011-08-31,15,3
11240,2011-09-30,17,12
11240,2011-10-31,17,13
11240,2011-11-30,18,9
11240,2011-12-31,19,11
11240,2012-01-31,20,13
11303,2006-01-31,16,6
11303,2006-03-31,34,53
11303,2006-04-30,46,31
11303,2006-06-30,75,71
11303,2006-07-31,86,46
11303,2006-09-30,108,49
11303,2006-10-31,122,71
11303,2006-12-31,149,92
11303,2007-01-31,158,51
11303,2007-03-31,177,136
11303,2007-04-30,186,105
11303,2007-06-30,192,2
11303,2007-07-31,201,103
11303,2007-09-30,223,119
11303,2007-10-31,243,195
11303,2007-12-31,285,213
11303,2008-01-31,311,253
11303,2008-03-31,353,275
11303,2008-04-30,379,277
11303,2008-06-30,416,258
11303,2008-07-31,441,239
11303,2008-09-30,482,295
11303,2008-10-31,500,360
